n;searchIn;searchOut;pageSize;alfaMax;capacity;oveflow;alfa;diskAccessIn;diskAccessOut;input
100000;5000;5000;10;0.60;15076;1591;0.60;5240;5727;tests/001.in
100000;5000;5000;10;0.60;15145;1522;0.60;5229;5700;tests/002.in
100000;5000;5000;10;0.60;15156;1511;0.60;5222;5725;tests/003.in
100000;5000;5000;10;0.60;15181;1486;0.60;5232;5672;tests/004.in
100000;5000;5000;10;0.60;15215;1453;0.60;5209;5654;tests/005.in
100000;5000;5000;10;0.60;15086;1581;0.60;5238;5739;tests/006.in
100000;5000;5000;10;0.60;15118;1549;0.60;5255;5721;tests/007.in
100000;5000;5000;10;0.60;15144;1523;0.60;5236;5692;tests/008.in
100000;5000;5000;10;0.60;15149;1518;0.60;5219;5686;tests/009.in
100000;5000;5000;10;0.60;15134;1533;0.60;5218;5724;tests/010.in
100000;5000;5000;10;0.60;15080;1588;0.60;5260;5779;tests/011.in
100000;5000;5000;10;0.60;15051;1617;0.60;5248;5737;tests/012.in
100000;5000;5000;10;0.60;15087;1580;0.60;5225;5741;tests/013.in
100000;5000;5000;10;0.60;15100;1567;0.60;5244;5719;tests/014.in
100000;5000;5000;10;0.60;15200;1467;0.60;5220;5667;tests/015.in
100000;5000;5000;10;0.60;15131;1537;0.60;5222;5696;tests/016.in
100000;5000;5000;10;0.60;14993;1674;0.60;5221;5789;tests/017.in
100000;5000;5000;10;0.60;15243;1425;0.60;5175;5680;tests/018.in
100000;5000;5000;10;0.60;15063;1604;0.60;5244;5757;tests/019.in
100000;5000;5000;10;0.60;15160;1507;0.60;5207;5653;tests/020.in
100000;5000;5000;10;0.60;15195;1472;0.60;5221;5640;tests/021.in
100000;5000;5000;10;0.60;15067;1601;0.60;5245;5774;tests/022.in
100000;5000;5000;10;0.60;15175;1493;0.60;5245;5708;tests/023.in
100000;5000;5000;10;0.60;15257;1411;0.60;5209;5650;tests/024.in
100000;5000;5000;10;0.60;15168;1499;0.60;5204;5701;tests/025.in
100000;5000;5000;10;0.60;15174;1493;0.60;5234;5682;tests/026.in
100000;5000;5000;10;0.60;15146;1521;0.60;5230;5666;tests/027.in
100000;5000;5000;10;0.60;15190;1477;0.60;5210;5651;tests/028.in
100000;5000;5000;10;0.60;15200;1467;0.60;5209;5646;tests/029.in
100000;5000;5000;10;0.60;15107;1560;0.60;5237;5768;tests/030.in
100000;5000;5000;10;0.60;15021;1646;0.60;5253;5773;tests/031.in
100000;5000;5000;10;0.60;15100;1567;0.60;5210;5797;tests/032.in
100000;5000;5000;10;0.60;15065;1603;0.60;5234;5770;tests/033.in
100000;5000;5000;10;0.60;15046;1621;0.60;5253;5748;tests/034.in
100000;5000;5000;10;0.60;15202;1465;0.60;5234;5718;tests/035.in
100000;5000;5000;10;0.60;15156;1512;0.60;5208;5698;tests/036.in
100000;5000;5000;10;0.60;15168;1499;0.60;5198;5706;tests/037.in
100000;5000;5000;10;0.60;15104;1563;0.60;5246;5699;tests/038.in
100000;5000;5000;10;0.60;15103;1564;0.60;5249;5724;tests/039.in
100000;5000;5000;10;0.60;15130;1537;0.60;5246;5720;tests/040.in
100000;5000;5000;10;0.60;15021;1646;0.60;5228;5800;tests/041.in
100000;5000;5000;10;0.60;15102;1566;0.60;5229;5739;tests/042.in
